seed,world,selector,terminal_wealth,time_to_death,rollover_failure_frequency,transaction_cost_total,transaction_cost_mean,rollover_count,fail_count,settlement_event_count,dead
61,baseline_world,random,-0.006769885925844148,5,0.16666666666666666,0.01,2.5e-05,5,1,6,True
62,baseline_world,random,-0.04374195731544906,2,0.3333333333333333,0.01,2.5e-05,2,1,3,True
63,baseline_world,random,-0.030275687413133388,14,0.06666666666666667,0.06,0.00015,14,1,15,True
64,baseline_world,random,-0.011656782435802572,2,0.3333333333333333,0.01,2.5e-05,2,1,3,True
65,baseline_world,random,-0.005,3,0.25,0.01,2.5e-05,3,1,4,True
66,baseline_world,random,-0.012597430110570872,5,0.16666666666666666,0.025,6.25e-05,5,1,6,True
67,baseline_world,random,-0.005958934761164129,6,0.0,0.0,0.0,6,0,6,True
68,baseline_world,random,-0.017512981654954837,5,0.0,0.0,0.0,5,0,5,True
69,baseline_world,random,-0.048843487993506206,9,0.1,0.065,0.0001625,9,1,10,True
70,baseline_world,random,-0.006294996524337501,12,0.0,0.005,1.25e-05,12,0,12,True
71,baseline_world,random,-0.008983767861277487,9,0.0,0.02,5e-05,9,0,9,True
72,baseline_world,random,-0.0044774546594375745,3,0.0,0.0,0.0,3,0,3,True
73,baseline_world,random,-0.021710993516902588,2,0.0,0.0,0.0,2,0,2,True
74,baseline_world,random,-0.025,3,0.25,0.035,8.750000000000001e-05,3,1,4,True
75,baseline_world,random,-0.0019193842386584798,9,0.0,0.0,0.0,9,0,9,True
76,baseline_world,random,-0.012620923467091608,6,0.14285714285714285,0.030000000000000002,7.500000000000001e-05,6,1,7,True
77,baseline_world,random,-0.013238392371031818,3,0.25,0.015,3.75e-05,3,1,4,True
78,baseline_world,random,-0.03033324656518414,16,0.058823529411764705,0.02,5e-05,16,1,17,True
79,baseline_world,random,-0.025,3,0.25,0.035,8.750000000000001e-05,3,1,4,True
80,baseline_world,random,-0.012140499607058122,16,0.0,0.02,5e-05,16,0,16,True
81,baseline_world,random,-0.005,8,0.1111111111111111,0.02,5e-05,8,1,9,True
82,baseline_world,random,-0.005,4,0.2,0.02,5e-05,4,1,5,True
83,baseline_world,random,-0.012574774182336032,7,0.125,0.035,8.750000000000001e-05,7,1,8,True
84,baseline_world,random,-0.005,3,0.25,0.015,3.75e-05,3,1,4,True
85,baseline_world,random,-0.039408581525454026,3,0.0,0.0,0.0,3,0,3,True
86,baseline_world,random,-0.00822811638462654,4,0.2,0.02,5e-05,4,1,5,True
87,baseline_world,random,-0.0288138602133626,4,0.2,0.02,5e-05,4,1,5,True
88,baseline_world,random,-0.005848274100652239,2,0.0,0.02,5e-05,2,0,2,True
89,baseline_world,random,-0.019432961151106175,3,0.25,0.015,3.75e-05,3,1,4,True
90,baseline_world,random,-0.007884955858735221,19,0.05,0.015,3.75e-05,19,1,20,True
91,baseline_world,random,-0.005,20,0.047619047619047616,0.08,0.0002,20,1,21,True
92,baseline_world,random,-0.011197121494127877,3,0.0,0.005,1.25e-05,3,0,3,True
93,baseline_world,random,-0.005,8,0.1111111111111111,0.04,0.0001,8,1,9,True
94,baseline_world,random,-0.02382697179643816,2,0.0,0.0,0.0,2,0,2,True
95,baseline_world,random,-0.018873595552068256,8,0.0,0.015,3.75e-05,8,0,8,True
96,baseline_world,random,-0.026040237260431878,9,0.1,0.045,0.0001125,9,1,10,True
97,baseline_world,random,-0.006785361185848783,5,0.0,0.005,1.25e-05,5,0,5,True
98,baseline_world,random,-0.005,9,0.1,0.035,8.750000000000001e-05,9,1,10,True
99,baseline_world,random,-0.009712914446312584,10,0.0,0.015,3.75e-05,10,0,10,True
0,baseline_world,myopic,-0.005,2,0.3333333333333333,0.01,2.5e-05,2,1,3,True
1,baseline_world,myopic,-0.005,7,0.125,0.035,8.750000000000001e-05,7,1,8,True
2,baseline_world,myopic,-0.007303525994590749,11,0.08333333333333333,0.015,3.75e-05,11,1,12,True
3,baseline_world,myopic,-0.0009604141327650573,7,0.0,0.0,0.0,7,0,7,True
4,baseline_world,myopic,-0.025,3,0.25,0.035,8.750000000000001e-05,3,1,4,True
5,baseline_world,myopic,-0.014054626622543052,3,0.0,0.005,1.25e-05,3,0,3,True
6,baseline_world,myopic,-0.014584123035826273,4,0.2,0.02,5e-05,4,1,5,True
7,baseline_world,myopic,-0.015370016761311299,3,0.25,0.015,3.75e-05,3,1,4,True
8,baseline_world,myopic,-0.028403210134023367,7,0.0,0.0,0.0,7,0,7,True
9,baseline_world,myopic,-0.005,2,0.3333333333333333,0.01,2.5e-05,2,1,3,True
10,baseline_world,myopic,-0.02329794529159042,3,0.25,0.015,3.75e-05,3,1,4,True
11,baseline_world,myopic,-0.025806486967349447,4,0.0,0.0,0.0,4,0,4,True
12,baseline_world,myopic,-0.000972348951381818,6,0.0,0.0,0.0,6,0,6,True
13,baseline_world,myopic,-0.012875643237172177,7,0.0,0.005,1.25e-05,7,0,7,True
14,baseline_world,myopic,-0.008039946557720907,3,0.25,0.015,3.75e-05,3,1,4,True
15,baseline_world,myopic,-0.009236810775637656,4,0.2,0.02,5e-05,4,1,5,True
16,baseline_world,myopic,-0.008532595254434654,9,0.0,0.035,8.750000000000001e-05,9,0,9,True
17,baseline_world,myopic,-0.02152297366325339,2,0.3333333333333333,0.01,2.5e-05,2,1,3,True
18,baseline_world,myopic,-0.013305889351349414,8,0.0,0.0,0.0,8,0,8,True
19,baseline_world,myopic,-0.01876351378598692,5,0.0,0.0,0.0,5,0,5,True
20,baseline_world,myopic,-0.01964269742887207,5,0.0,0.0,0.0,5,0,5,True
21,baseline_world,myopic,-0.012093647088841633,8,0.1111111111111111,0.04,0.0001,8,1,9,True
22,baseline_world,myopic,-0.006041417256430216,3,0.0,0.0,0.0,3,0,3,True
23,baseline_world,myopic,-0.008586749055188239,3,0.25,0.015,3.75e-05,3,1,4,True
24,baseline_world,myopic,-0.004532845868691494,5,0.0,0.02,5e-05,5,0,5,True
25,baseline_world,myopic,-0.03054528539957942,5,0.16666666666666666,0.025,6.25e-05,5,1,6,True
26,baseline_world,myopic,-0.032246720079806085,3,0.0,0.0,0.0,3,0,3,True
27,baseline_world,myopic,-0.037226085052263554,2,0.3333333333333333,0.01,2.5e-05,2,1,3,True
28,baseline_world,myopic,-0.012538568966039833,7,0.0,0.015,3.75e-05,7,0,7,True
29,baseline_world,myopic,-0.009756668176737149,2,0.0,0.0,0.0,2,0,2,True
30,baseline_world,myopic,-0.002857888090606278,4,0.0,0.0,0.0,4,0,4,True
31,baseline_world,myopic,-0.005,3,0.25,0.015,3.75e-05,3,1,4,True
32,baseline_world,myopic,-0.0007637515451021475,2,0.0,0.0,0.0,2,0,2,True
33,baseline_world,myopic,-0.02,12,0.07692307692307693,0.02,5e-05,12,1,13,True
34,baseline_world,myopic,-0.0018831938008410294,7,0.0,0.02,5e-05,7,0,7,True
35,baseline_world,myopic,-0.021295018416458266,4,0.0,0.0,0.0,4,0,4,True
36,baseline_world,myopic,-0.0016477952700603097,4,0.0,0.0,0.0,4,0,4,True
37,baseline_world,myopic,-0.02,5,0.16666666666666666,0.04,0.0001,5,1,6,True
38,baseline_world,myopic,-0.012301275317389924,3,0.0,0.0,0.0,3,0,3,True
39,baseline_world,myopic,-0.005,2,0.3333333333333333,0.01,2.5e-05,2,1,3,True
